date,t1,c1,p1,sal,sv
20211003T000000.714Z,9.4602,3.3995,97.318,31.2671,1484.917
20211003T000001.733Z,9.4604,3.3995,97.318,31.267,1484.917
20211003T000002.714Z,9.4604,3.39949,97.318,31.267,1484.917
20211003T000003.756Z,9.4604,3.39949,97.318,31.2669,1484.917
20211003T000004.713Z,9.4603,3.39949,97.318,31.267,1484.917
20211003T000005.741Z,9.4602,3.39949,97.318,31.267,1484.917
20211003T000006.714Z,9.4601,3.39947,97.318,31.2669,1484.916
20211003T000007.723Z,9.46,3.39949,97.318,31.2671,1484.916
20211003T000008.714Z,9.46,3.39948,97.318,31.2671,1484.916
20211003T000009.777Z,9.4601,3.3995,97.318,31.2672,1484.917
20211003T000010.720Z,9.4603,3.39949,97.319,31.2669,1484.917
20211003T000011.721Z,9.4604,3.39948,97.317,31.2668,1484.917
20211003T000012.714Z,9.4603,3.39949,97.318,31.2669,1484.917
20211003T000013.716Z,9.4601,3.39948,97.318,31.267,1484.916
20211003T000014.716Z,9.4598,3.39949,97.318,31.2674,1484.916
20211003T000015.726Z,9.4596,3.39948,97.318,31.2675,1484.915
20211003T000016.715Z,9.4594,3.39949,97.317,31.2677,1484.914
20211003T000017.720Z,9.4593,3.39949,97.318,31.2678,1484.914
20211003T000018.717Z,9.4593,3.39948,97.319,31.2678,1484.914
20211003T000019.760Z,9.4593,3.39949,97.317,31.2678,1484.914
20211003T000020.714Z,9.4592,3.39947,97.317,31.2677,1484.914
20211003T000021.739Z,9.4593,3.39946,97.318,31.2676,1484.914
20211003T000022.716Z,9.4593,3.39946,97.316,31.2675,1484.914
20211003T000023.740Z,9.4593,3.39945,97.317,31.2674,1484.914
20211003T000024.715Z,9.4593,3.39944,97.318,31.2673,1484.914
20211003T000025.795Z,9.4592,3.39945,97.318,31.2675,1484.913
20211003T000026.714Z,9.4591,3.39944,97.317,31.2675,1484.913
20211003T000027.756Z,9.4591,3.39944,97.317,31.2674,1484.913
20211003T000028.714Z,9.4592,3.39943,97.318,31.2673,1484.913
20211003T000029.899Z,9.4593,3.39943,97.318,31.2672,1484.913
20211003T000030.716Z,9.4593,3.39942,97.318,31.2671,1484.914
20211003T000031.722Z,9.4593,3.39943,97.317,31.2672,1484.913
20211003T000032.715Z,9.4592,3.39944,97.317,31.2674,1484.913
20211003T000033.780Z,9.4592,3.39945,97.317,31.2676,1484.913
20211003T000034.715Z,9.4594,3.39947,97.318,31.2676,1484.914
20211003T000035.721Z,9.4597,3.3995,97.318,31.2675,1484.916
20211003T000036.715Z,9.46,3.39951,97.317,31.2674,1484.916
20211003T000037.812Z,9.4603,3.39953,97.318,31.2674,1484.917
20211003T000038.714Z,9.4605,3.39955,97.317,31.2674,1484.918
20211003T000039.808Z,9.4608,3.39957,97.317,31.2673,1484.919
20211003T000040.714Z,9.4609,3.39958,97.318,31.2673,1484.92
20211003T000041.734Z,9.461,3.39958,97.317,31.2673,1484.92
20211003T000042.713Z,9.461,3.39959,97.317,31.2674,1484.92
20211003T000043.805Z,9.461,3.39959,97.317,31.2674,1484.92
20211003T000044.714Z,9.4611,3.3996,97.317,31.2674,1484.921
20211003T000045.753Z,9.4613,3.39961,97.317,31.2673,1484.921
20211003T000046.715Z,9.4613,3.3996,97.317,31.2672,1484.921
20211003T000047.784Z,9.4612,3.3996,97.318,31.2672,1484.921
20211003T000048.715Z,9.4613,3.39959,97.317,31.2671,1484.921
20211003T000049.786Z,9.4613,3.3996,97.318,31.2672,1484.921
20211003T000050.715Z,9.4615,3.39959,97.317,31.267,1484.921
20211003T000051.767Z,9.4614,3.39959,97.317,31.267,1484.921
20211003T000052.714Z,9.4613,3.3996,97.317,31.2672,1484.921
20211003T000053.868Z,9.4614,3.39959,97.317,31.267,1484.921
20211003T000054.728Z,9.4614,3.39959,97.317,31.267,1484.921
20211003T000055.805Z,9.4616,3.39959,97.316,31.2668,1484.921
